ibge_code,municipio,regiao_intermediaria_nome,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
3306156,varre-sai,Campos dos Goytacazes,2.910038201894386,1.9888862545058676,4.26785775794675
3305752,tangua,Rio de Janeiro,2.7158437659009595,1.798541337844863,4.1092300226515865
3302809,mendes,Volta Redonda - Barra Mansa,2.6393649936588406,1.7349076777348194,4.0231213723877035
3301405,conceicao de macabu,Macaé - Rio das Ostras - Cabo Frio,2.5335171874595566,1.6859147864073072,3.8150849179771504
3300902,cambuci,Campos dos Goytacazes,2.449679740121483,1.6395638275353388,3.6678226152929816
3304805,sao fidelis,Campos dos Goytacazes,2.4033182807410207,1.6127342725992684,3.5891357389093788
3305000,sao joao da barra,Campos dos Goytacazes,2.25740275352659,1.4118511221693426,3.614944288785005
3300936,carapebus,Macaé - Rio das Ostras - Cabo Frio,2.245299614595862,1.5026142239198128,3.3621621556880825
3302452,macuco,Petrópolis,2.2307723337229977,1.5062205796983756,3.311171435307168
3301603,duas barras,Petrópolis,2.209833062985119,1.388892354759069,3.521575040721816
3304144,queimados,Rio de Janeiro,2.130225184165287,1.434344612246004,3.170616929175425
3303005,miracema,Campos dos Goytacazes,2.0540944718499787,1.4403940670295363,2.9372283940774095
3302106,itaocara,Campos dos Goytacazes,2.0372879533449586,1.4185309864606241,2.9335786691149583
3302908,miguel pereira,Volta Redonda - Barra Mansa,2.0258713052678328,1.4046741328532428,2.929231175943467
3304755,sao francisco de itabapoana,Campos dos Goytacazes,1.9542272073215619,1.3096901914615156,2.922171281993287
3304508,rio das flores,Volta Redonda - Barra Mansa,1.9421700122481584,1.2905879117730483,2.928686373336465
3305703,sumidouro,Petrópolis,1.8699773786797906,1.300880295107511,2.695016817853843
3300159,aperibe,Campos dos Goytacazes,1.8307777997553552,1.2704945498648215,2.644900177577316
3301801,engenheiro paulo de frontin,Volta Redonda - Barra Mansa,1.810024944532366,1.250373139788324,2.626713261853186
3303708,paraiba do sul,Petrópolis,1.790299019163354,1.2382551799487969,2.5949646871745164
3303856,paty do alferes,Volta Redonda - Barra Mansa,1.7872069027831154,1.256930974682744,2.5482183096461517
3304607,santa maria madalena,Petrópolis,1.764314911612426,1.032709719703965,3.0178058493535374
