municipio,ibge_code,date,year,week,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975,municipio_norm,regiao_intermediaria_nome,municipality_order
varre-sai,3306156,2017-03-27,2017,13,0.74211868810564,0.157303572665957,0.433803685680364,1.05043369053092,2.10038085562193,1.54311590263068,2.85889072307678,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-04-03,2017,14,0.697248769637947,0.153559979432839,0.396271209949583,0.998226329326311,2.00822002421296,1.48627235474547,2.7134647649021,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-04-10,2017,15,0.651773144214028,0.154792928157265,0.348379005025788,0.955167283402267,1.91894037220107,1.41676911061042,2.59910533373829,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-04-17,2017,16,0.606026469415588,0.155173334736329,0.301886733332383,0.910166205498794,1.8331328983404,1.35240803528249,2.48473547576634,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-04-24,2017,17,0.497863204246163,0.181685175101011,0.14176026104818,0.853966147444145,1.64520205135514,1.15230036413878,2.34894466236338,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-05-01,2017,18,0.519309654106682,0.175845670155155,0.174652140602579,0.863967167610785,1.68086686953448,1.19083190248698,2.37255436909118,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-05-08,2017,19,0.529014937658936,0.172982199852862,0.189969825947327,0.868060049370545,1.69725957838835,1.20921311024669,2.38228485286877,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-05-15,2017,20,0.581974367066186,0.189094661408641,0.21134883070525,0.952599903427122,1.78956820959962,1.2353432055517,2.59244100134855,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-05-22,2017,21,0.626023991462062,0.171803630621088,0.289288875444729,0.962759107479395,1.87016000515868,1.33547745945676,2.61891237484295,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-05-29,2017,22,0.755441172607175,0.176573744875966,0.409356632650282,1.10152571256407,2.12855037436056,1.50584865953324,3.00875301611971,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-06-05,2017,23,0.986171572058419,0.178926976287231,0.635474698535446,1.33686844558139,2.68095097247741,1.88791812074885,3.80710266924958,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-06-12,2017,24,1.0298357325603,0.174777847476412,0.687271151506529,1.37240031361407,2.80060574857559,1.98828240208121,3.94480811716921,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-06-19,2017,25,1.13722008405441,0.20024241964984,0.744744941540724,1.5296952265681,3.11808828248968,2.10590423778502,4.61676953916266,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-06-26,2017,26,1.2160442399248,0.223881857556999,0.77723579911308,1.65485268073652,3.37381529812837,2.17545056435716,5.23230904548207,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-07-03,2017,27,1.27854098831245,0.23351780159609,0.820846097184111,1.73623587944078,3.59139601242334,2.27242171398394,5.67593824626753,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-07-10,2017,28,1.32997559200144,0.235195148348001,0.868993101239357,1.79095808276352,3.78095110099349,2.38450868551704,5.99519360735904,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-07-17,2017,29,1.23231058947004,0.229840961021147,0.781822305868597,1.68279887307149,3.42914373293951,2.18545119952611,5.38059451691629,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-07-24,2017,30,1.11547865495084,0.218674320117212,0.686876987521101,1.54408032238057,3.05102821948945,1.98749884720015,4.68366218638793,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-07-31,2017,31,1.09877876438959,0.222630498192981,0.662422987931347,1.53513454084783,3.00049946873799,1.93948599692545,4.64195001983458,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-08-07,2017,32,1.11978073665003,0.225308639525268,0.678175803180503,1.56138567011955,3.06418226676143,1.9702802729837,4.76541997231523,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-08-14,2017,33,1.09971002769781,0.218795901015779,0.670870061706881,1.52854999368873,3.00329502529714,1.95593836759538,4.61148528931585,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-08-21,2017,34,1.13408291574905,0.209897313022093,0.722684182225747,1.54548164927235,3.10832164256328,2.05995509130349,4.69023012900423,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-08-28,2017,35,1.1315178042741,0.206240539036078,0.727286347763388,1.53574926078481,3.10035866837457,2.06945719398738,4.64480439628942,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-09-04,2017,36,1.16286625721,0.199330561038155,0.772178357575218,1.55355415684478,3.19908956123383,2.1644761249939,4.72824527959349,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-09-11,2017,37,1.14417777018664,0.198826411544856,0.754478003558727,1.53387753681456,3.13985860982016,2.12650120752736,4.63611873567908,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-09-18,2017,38,1.07122461840756,0.197147340512231,0.684815831003586,1.45763340581153,2.91895191435343,1.98340651991003,4.29578111838316,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-09-25,2017,39,1.11605043851448,0.197226700611844,0.729486105315269,1.5026147717137,3.0527732461188,2.0740145087342,4.49342299823471,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-10-02,2017,40,1.04413659004334,0.196820966478226,0.658367495746018,1.42990568434066,2.84094456459449,1.9316363544618,4.1783050937389,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-10-09,2017,41,1.01321517451705,0.197572700321216,0.625972681887464,1.40045766714663,2.75444280777103,1.8700640505061,4.05705632340682,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-10-16,2017,42,1.03746774242614,0.197730255991181,0.64991644068343,1.42501904416886,2.82206177142142,1.91538077441848,4.15793702645685,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-10-23,2017,43,1.01819267551619,0.194121531307027,0.637714474154422,1.39867087687797,2.76818722765357,1.89215137272389,4.04981368711167,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-10-30,2017,44,0.960416059641104,0.192803323439935,0.582521545698833,1.33831057358338,2.61278332100155,1.79054769103679,3.81259695939795,varre sai,Campos dos Goytacazes,0
varre-sai,3306156,2017-11-06,2017,45,0.867852831141778,0.189537178148364,0.496359961970985,1.23934570031257,2.38179125116454,1.6427307720115,3.45335319747953,varre sai,Campos dos Goytacazes,0
