lag,accuracy_pct,mae,rmse,wape,r2,weighted_rhat,weighted_ess_bulk,weighted_ess_tail,n_rows
1,62.09073423389867,2.677539973691903,10.040267149681222,0.3790926576610133,0.9438544623808935,1.0040293438283752,1404.566887297214,1635.5481000829986,17105
2,55.93146804500342,3.109403244134897,10.964889445883335,0.44068531954996587,0.9331430614799278,1.0032509897362651,1332.2030116026676,1592.3840355705138,17050
3,50.206020152632846,3.5070841975581057,13.211010129316305,0.4979397984736715,0.9030878217610592,1.0034514484652581,1226.572881597126,1577.2476546651985,16995
4,46.485829037908964,3.7599549328512394,14.783023787294775,0.5351417096209103,0.8787035532161984,1.0054567508042518,1156.4935918832446,1350.5190348367787,16940
5,42.25224522454356,4.049969573586023,16.971933777269424,0.5774775477545644,0.840314827492807,1.0059512766904462,1122.8462190144255,1391.0399236662772,16885
6,37.9828124336828,4.341018883689839,19.07756315337828,0.620171875663172,0.7984818972347418,1.0045270849092511,1169.8739845647667,1446.4640843240534,16830
7,34.9207965819038,4.547940350223547,21.101886657076715,0.650792034180962,0.7538122899345425,1.006078134541689,1040.2246519838711,1369.16923291798,16775
8,31.76719781066254,4.768093525717703,23.147862093510945,0.6823280218933746,0.7045615058437563,1.0040634492852991,1023.4554848461152,1342.308364370237,16720
9,29.399887959334503,4.929679830483049,24.745971095649537,0.706001120406655,0.6631842727726844,1.0067935289758108,1020.7218155201726,1358.5347736751107,16665
10,27.631801335721363,5.04769274909693,25.868615107963414,0.7236819866427864,0.6328103605812727,1.0052356982829813,1081.056070283695,1328.298219548279,16610
