municipio,year,week,date,cases,predicted_cases,municipio_norm,population,model,model_label,observed_incidence_per_100k,predicted_incidence_per_100k
angra dos reis,2018,9,2018-02-26,3,18.7229993304103,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,9.043005028114942
angra dos reis,2018,10,2018-03-05,8,14.9628691504518,angra dos reis,207044,S6,S6 rainfall-region,3.8639129846795854,7.226903049811538
angra dos reis,2018,11,2018-03-12,4,7.694608989896,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,3.716412448511428
angra dos reis,2018,12,2018-03-19,1,11.7805061424729,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,5.689856331249831
angra dos reis,2018,13,2018-03-26,2,8.67258309751883,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,4.188763305151962
angra dos reis,2018,14,2018-04-02,1,16.7344031183178,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,8.082534687466337
angra dos reis,2018,15,2018-04-09,0,8.53975859461735,angra dos reis,207044,S6,S6 rainfall-region,0.0,4.124610514971383
angra dos reis,2018,16,2018-04-16,2,4.25164980503374,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,2.0535006109975367
angra dos reis,2018,17,2018-04-23,3,5.40323205559611,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,2.6097023123568466
angra dos reis,2018,18,2018-04-30,2,4.64788610864524,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,2.2448784358132765
angra dos reis,2018,19,2018-05-07,3,2.6028196417573,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,1.257133576320637
angra dos reis,2018,20,2018-05-14,4,5.27331393638613,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,2.546953273886773
angra dos reis,2018,21,2018-05-21,2,5.46444535969565,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,2.639267672425016
angra dos reis,2018,22,2018-05-28,1,3.51663073296777,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,1.6984943939296815
angra dos reis,2018,23,2018-06-04,2,4.03537167275975,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,1.9490406255480717
angra dos reis,2018,24,2018-06-11,3,4.3433356398451,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,2.0977838719523874
angra dos reis,2018,25,2018-06-18,0,2.77575875467262,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.3406612868146963
angra dos reis,2018,26,2018-06-25,3,1.56499983076427,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,0.755877895888927
angra dos reis,2018,27,2018-07-02,1,2.70195149065846,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,1.305013181091198
angra dos reis,2018,28,2018-07-09,2,3.08887782578757,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,1.4918943923936796
angra dos reis,2018,29,2018-07-16,2,1.10407412628156,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.533255794073511
angra dos reis,2018,30,2018-07-23,0,3.66370196597675,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.769528199791711
angra dos reis,2018,31,2018-07-30,1,1.67507271972053,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.8090419040013379
angra dos reis,2018,32,2018-08-06,2,2.22285504983817,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,1.0736148112662864
angra dos reis,2018,33,2018-08-13,1,2.14295437783123,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,1.0350236557597563
angra dos reis,2018,34,2018-08-20,0,0.903812705110875,angra dos reis,207044,S6,S6 rainfall-region,0.0,0.43653170587453627
angra dos reis,2018,35,2018-08-27,1,1.4171788049062,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.6844819482362203
angra dos reis,2018,36,2018-09-03,2,2.18934639697102,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,1.0574304964022236
angra dos reis,2018,37,2018-09-10,2,1.59286016996543,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.7693341366885443
angra dos reis,2018,38,2018-09-17,2,0.851640061993777,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.41133288672638524
angra dos reis,2018,39,2018-09-24,4,1.58318840887998,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,0.7646627812831959
angra dos reis,2018,40,2018-10-01,3,2.22493938519544,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,1.0746215225727092
angra dos reis,2018,41,2018-10-08,4,2.44543589234905,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,1.1811189372061253
angra dos reis,2018,42,2018-10-15,6,3.14263067498967,angra dos reis,207044,S6,S6 rainfall-region,2.8979347385096887,1.5178564338931193
angra dos reis,2018,43,2018-10-22,5,3.98076144766452,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,1.922664480817855
angra dos reis,2018,44,2018-10-29,12,3.59810095521509,angra dos reis,207044,S6,S6 rainfall-region,5.7958694770193775,1.7378436251304505
angra dos reis,2018,45,2018-11-05,0,4.06207240936005,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.9619367909043732
angra dos reis,2018,46,2018-11-12,6,5.03819281511743,angra dos reis,207044,S6,S6 rainfall-region,2.8979347385096887,2.4333923297064537
angra dos reis,2018,47,2018-11-19,4,5.7658138873197,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,2.7848253933075577
angra dos reis,2018,48,2018-11-26,2,10.5546103002601,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,5.097761973425986
angra dos reis,2018,49,2018-12-03,2,1.49853054145915,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.7237739521353674
angra dos reis,2018,50,2018-12-10,1,7.09964251498994,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,3.429050112531607
angra dos reis,2018,51,2018-12-17,7,4.28958187900295,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,2.0718213901407188
angra dos reis,2018,52,2018-12-24,7,3.84797904290225,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,1.8585320235806158
angra dos reis,2019,1,2018-12-31,6,5.85304156789566,angra dos reis,207044,S6,S6 rainfall-region,2.8979347385096887,2.8269554142576747
angra dos reis,2019,2,2019-01-07,9,5.06395382272624,angra dos reis,207044,S6,S6 rainfall-region,4.346902107764533,2.4458346161812177
angra dos reis,2019,3,2019-01-14,8,14.6164337471184,angra dos reis,207044,S6,S6 rainfall-region,3.8639129846795854,7.059578518149959
angra dos reis,2019,4,2019-01-21,3,19.0400559282343,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,9.196139916266253
angra dos reis,2019,5,2019-01-28,7,13.4625696051118,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,6.502274688043024
angra dos reis,2019,6,2019-02-04,4,20.1416097183606,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,9.728178415390254
angra dos reis,2019,7,2019-02-11,8,15.6089140780132,angra dos reis,207044,S6,S6 rainfall-region,3.8639129846795854,7.538935722847897
angra dos reis,2019,8,2019-02-18,8,8.10066745133243,angra dos reis,207044,S6,S6 rainfall-region,3.8639129846795854,3.9125342687218327
angra dos reis,2019,9,2019-02-25,9,15.7580745395659,angra dos reis,207044,S6,S6 rainfall-region,4.346902107764533,7.610978603372182
angra dos reis,2019,10,2019-03-04,7,14.3154141597976,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,6.914189331638491
angra dos reis,2019,11,2019-03-11,13,23.6329224264972,angra dos reis,207044,S6,S6 rainfall-region,6.278858600104326,11.414444478708488
angra dos reis,2019,12,2019-03-18,22,22.8163522445748,angra dos reis,207044,S6,S6 rainfall-region,10.625760707868858,11.020049962604471
angra dos reis,2019,13,2019-03-25,48,24.2193601335287,angra dos reis,207044,S6,S6 rainfall-region,23.18347790807751,11.697687512571578
angra dos reis,2019,14,2019-04-01,127,20.5310600733589,angra dos reis,207044,S6,S6 rainfall-region,61.339618631788404,9.916278700836006
angra dos reis,2019,15,2019-04-08,128,32.5938919590969,angra dos reis,207044,S6,S6 rainfall-region,61.82260775487337,15.742495295249753
angra dos reis,2019,16,2019-04-15,171,54.592698533243,angra dos reis,207044,S6,S6 rainfall-region,82.59114004752612,26.367679591411974
angra dos reis,2019,17,2019-04-22,221,107.835600907053,angra dos reis,207044,S6,S6 rainfall-region,106.74059620177354,52.08342231943597
angra dos reis,2019,18,2019-04-29,190,228.130872288675,angra dos reis,207044,S6,S6 rainfall-region,91.76793338614014,110.18472995531143
angra dos reis,2019,19,2019-05-06,160,209.600808497716,angra dos reis,207044,S6,S6 rainfall-region,77.2782596935917,101.234910694208
angra dos reis,2019,20,2019-05-13,176,234.613747058989,angra dos reis,207044,S6,S6 rainfall-region,85.00608566295087,113.31588795569492
angra dos reis,2019,21,2019-05-20,106,222.88105188347,angra dos reis,207044,S6,S6 rainfall-region,51.196847047004496,107.649123801448
angra dos reis,2019,22,2019-05-27,72,173.587491966029,angra dos reis,207044,S6,S6 rainfall-region,34.77521686211627,83.84087052318782
angra dos reis,2019,23,2019-06-03,55,142.411390061194,angra dos reis,207044,S6,S6 rainfall-region,26.56440176967215,68.78315240296457
angra dos reis,2019,24,2019-06-10,41,133.975200426513,angra dos reis,207044,S6,S6 rainfall-region,19.802554046482875,64.70856456913168
angra dos reis,2019,25,2019-06-17,34,92.0731452008127,angra dos reis,207044,S6,S6 rainfall-region,16.421630184888237,44.47032766021363
angra dos reis,2019,26,2019-06-24,29,53.2948532652597,angra dos reis,207044,S6,S6 rainfall-region,14.006684569463495,25.74083444352877
angra dos reis,2019,27,2019-07-01,26,51.7116663105712,angra dos reis,207044,S6,S6 rainfall-region,12.557717200208652,24.97617236460424
angra dos reis,2019,28,2019-07-08,13,35.7560081419222,angra dos reis,207044,S6,S6 rainfall-region,6.278858600104326,17.26976301748527
angra dos reis,2019,29,2019-07-15,11,28.2164475890799,angra dos reis,207044,S6,S6 rainfall-region,5.312880353934429,13.6282372776221
angra dos reis,2019,30,2019-07-22,11,24.5931971460227,angra dos reis,207044,S6,S6 rainfall-region,5.312880353934429,11.878246723412753
angra dos reis,2019,31,2019-07-29,12,18.0609215082847,angra dos reis,207044,S6,S6 rainfall-region,5.7958694770193775,8.723228641392506
angra dos reis,2019,32,2019-08-05,9,10.4506000857419,angra dos reis,207044,S6,S6 rainfall-region,4.346902107764533,5.047526171123964
angra dos reis,2019,33,2019-08-12,6,9.18891600081596,angra dos reis,207044,S6,S6 rainfall-region,2.8979347385096887,4.438146481335349
angra dos reis,2019,34,2019-08-19,3,8.84169591426801,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,4.270442956216074
angra dos reis,2019,35,2019-08-26,4,9.12401667452595,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,4.406800812641734
angra dos reis,2019,36,2019-09-02,1,7.79867158150298,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,3.76667354837763
angra dos reis,2019,37,2019-09-09,3,6.2803282930399,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,3.03333025494093
angra dos reis,2019,38,2019-09-16,2,3.61318025419283,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,1.7451267625204452
angra dos reis,2019,39,2019-09-23,0,4.85480900386948,angra dos reis,207044,S6,S6 rainfall-region,0.0,2.344819943523831
angra dos reis,2019,40,2019-09-30,0,2.30909301789866,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.1152668118364502
angra dos reis,2019,41,2019-10-07,0,3.59840950824421,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.7379926528874106
angra dos reis,2019,42,2019-10-14,2,3.47451319484158,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,1.6781520811236164
angra dos reis,2019,43,2019-10-21,2,1.46870724034005,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.7093696220803549
angra dos reis,2019,44,2019-10-28,0,1.39055441496502,angra dos reis,207044,S6,S6 rainfall-region,0.0,0.671622657485858
angra dos reis,2019,45,2019-11-04,1,1.56156994228864,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.7542212970618033
angra dos reis,2019,46,2019-11-11,0,3.47585322701629,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.678799302088585
