model,model_group,script,dic,waic,mae,rmse,wape,accuracy_pct,r2,waic_rank,wape_rank,rmse_rank,model_label,model_index,stage,wape_percent,delta_waic,delta_dic,waic_rank_recomputed,wape_rank_recomputed,rmse_rank_recomputed
R_M0,non_spatial,base_model_r_m0.R,109000.873804158,109095.891356347,18.4490697359515,93.9781407060685,0.857937784853383,14.2062215146617,0.233749647046885,17,17,14,M0,0,Climate/socioeconomic,85.79377848533831,18940.813496337098,19233.655864766013,17,17,14
R_M1,non_spatial,base_model_r_m1_covariates.R,104129.160581325,104221.589103497,18.7151912615386,95.0399527344699,0.855644602535999,14.4355397464001,0.233040561796276,15,16,16,M1,1,Climate/socioeconomic,85.5644602535999,14066.511243487097,14361.942641933012,15,16,16
R_M2,non_spatial,base_model_r_m2_lag_weather.R,98268.2281620355,98365.0357278747,18.6987983827443,95.666770037197,0.852490974521123,14.7509025478877,0.226321338429268,14,14,17,M2,2,Climate/socioeconomic,85.2490974521123,8209.957867864796,8501.010222643512,14,14,17
R_M3,non_spatial,base_model_r_m3_interpolation.R,105301.715622031,105395.012114274,18.6188351227082,94.6193372772742,0.854695715395488,14.5304284604512,0.234567843129574,16,15,15,M3,3,Climate/socioeconomic,85.46957153954881,15239.934254264095,15534.497682639005,16,15,15
R_M4,non_spatial,base_model_r_m4_lag_cases.R,95277.2152395866,95469.4099039219,4.55960197448941,12.4306588327968,0.489500013165861,51.0499986834139,0.838217424085091,13,11,13,M4,4,Temporal,48.9500013165861,5314.332043912,5509.9973001946055,13,11,13
R_M5,non_spatial,base_model_r_m5_lag_weather_cases.R,91356.6457683783,91525.6311577326,4.12109788396502,11.1179945496718,0.477069688438704,52.2930311561296,0.855733744922641,11,8,8,M5,5,Temporal,47.7069688438704,1370.5532977226976,1589.4278289862996,11,8,8
S1,spatial,spatial_R/spatial_inla_model_s1.R,91357.0399189354,91526.4431096961,4.15365321446477,11.2491921782045,0.480838383533029,51.9161616466971,0.852308834689436,12,10,10,S1,6,Spatial,48.0838383533029,1371.365249686205,1589.8219795434125,12,10,10
S2,spatial,spatial_R/spatial_inla_model_s2.R,91141.7233128812,91302.5510403236,3.98389884731226,10.439423158876,0.461187148515374,53.8812851484626,0.872806520326117,7,4,5,S2,7,Spatial,46.118714851537405,1147.4731803136965,1374.505373489199,7,4,5
S3,spatial,spatial_R/spatial_inla_model_s3.R,91189.1722040866,91360.8711812599,4.09746980484585,11.0969723824832,0.474334436653579,52.5665563346421,0.856278793237866,10,7,7,S3,8,Spatial,47.4334436653579,1205.7933212500066,1421.9542646946065,10,7,7
S4,spatial,spatial_R/spatial_inla_model_s4_road.R,91142.2291115268,91303.4012266555,3.98432651069094,10.4305126775676,0.461236656010845,53.8763343989155,0.873023557498211,8,5,4,S4,9,Mobility,46.123665601084504,1148.3233666455926,1375.0111721348076,8,5,4
S5,spatial,spatial_R/spatial_inla_model_s5_air.R,91140.746913222,91303.4811841189,3.97450735819344,10.4010492201978,0.46009996376169,53.9900036238311,0.873739894501405,9,3,3,S5,10,Mobility,46.009996376169,1148.4033241089928,1373.5289738300053,9,3,3
S6,spatial,spatial_R/spatial_inla_model_s6_rainfall_region.R,91062.5749989572,91226.2825320059,3.91864719434203,10.2236376196372,0.45363343670626,54.636656329374,0.878010419041128,5,1,1,S6,11,Climate heterogeneity,45.363343670626,1071.2046719960053,1295.3570595652127,5,1,1
S7,spatial,spatial_R/spatial_inla_model_s7_temperature_region.R,91118.8115804656,91284.3862077195,4.00567017985268,10.62084084003,0.463707458181488,53.6292541818512,0.868347337617998,6,6,6,S7,12,Climate heterogeneity,46.3707458181488,1129.3083477095934,1351.593641073603,6,6,6
S8,spatial,spatial_R/spatial_inla_model_s8_rainfall_municipality.R,90483.3224592379,90669.29691185,3.95236431291778,10.3041509830556,0.457536623601328,54.2463376398672,0.876081464553352,2,2,2,S8,13,Climate heterogeneity,45.7536623601328,514.2190518401039,716.1045198459033,2,2,2
S9,spatial,spatial_R/spatial_inla_model_s9_temperature_municipality.R,90775.5197177888,90966.5377619955,4.14237104593945,11.1197133066789,0.479532328502346,52.0467671497654,0.855689136553398,4,9,9,S9,14,Climate heterogeneity,47.9532328502346,811.4599019855959,1008.3017783968098,4,9,9
S10,spatial,spatial_R/spatial_inla_model_s10_rainfall_time.R,90356.1055900937,90736.6988553904,4.50381403275056,12.3375329592658,0.52137396826957,47.862603173043,0.822348656381964,3,13,12,S10,15,Climate heterogeneity,52.13739682695701,581.6209953804937,588.8876507017121,3,13,12
S11,spatial,spatial_R/spatial_inla_model_s11_rainfall_spacetime.R,89767.217939392,90155.0778600099,4.28281525287998,11.3844137172641,0.495790538313096,50.4209461686904,0.848736834535478,1,12,11,S11,16,Climate heterogeneity,49.5790538313096,0.0,0.0,1,12,11
