,cases,rainfall,humidity,temperature,idhm,population
cases,1.0,0.008308606709242555,0.022919438486716594,0.007675631682374248,0.16616336190465703,0.5053974663884713
rainfall,0.008308606709242555,1.0,-0.010099654739127278,0.5592306456993401,0.06005601417533517,0.01801880037135767
humidity,0.022919438486716594,-0.010099654739127278,1.0,-0.4179583850568864,0.004942309013265902,-0.003122448052814439
temperature,0.007675631682374248,0.5592306456993401,-0.4179583850568864,1.0,-0.02590867320610994,-0.0037882512849556887
idhm,0.16616336190465703,0.06005601417533517,0.004942309013265902,-0.02590867320610994,1.0,0.3097508114189136
population,0.5053974663884713,0.01801880037135767,-0.003122448052814439,-0.0037882512849556887,0.3097508114189136,1.0
