term,mean,sd,0.025quant,0.5quant,0.975quant,mode,kld
(Intercept),-0.0560428906183787,0.36818210534318,-0.788899394703111,-0.0559876901165069,0.676499163451943,-0.0559895217525803,3.51420331128801e-09
rainfall_z,0.0477976558777712,0.0300003059171448,-0.0109965155585004,0.0477852069253849,0.106662603401955,0.0477851161564618,7.74327667063644e-11
humidity_z,0.0612950157048405,0.0169546897456964,0.0280462456592367,0.0612957013856354,0.0945398864914899,0.061295706175857,4.78934777917877e-11
temperature_z,0.178015664732235,0.0229972052938187,0.132913822778299,0.178017804587007,0.223105338287657,0.178017819611716,4.91352434538285e-11
idhm_z,0.976909724704107,0.144942591517959,0.692139841408334,0.976868793707818,1.26191658661094,0.976869864012141,1.15668955680761e-08
