municipio,ibge_code,year,week,date,cases,rainfall_lag,temperature_lag,fitted_mu,nb_size,nb_variance,pearson_residual,residual_direction
angra dos reis,3300100,2017,40,2017-10-02,5,13.820247,13.4285714286,1.38476685183163,0.978497577725951,3.34448476793337,1.97684081519275,underpredicted
angra dos reis,3300100,2017,41,2017-10-09,2,15.5633331,13.9642857143,3.02324477804855,0.978497577725951,12.3641048844572,-0.291003489473283,overpredicted
angra dos reis,3300100,2017,42,2017-10-16,1,22.4941969,13.83928575,1.22022324645103,0.978497577725951,2.74188748463936,-0.132995928544471,overpredicted
angra dos reis,3300100,2017,52,2017-12-25,1,54.118645,25.966666,2.25314064719091,0.978497577725951,7.44134232656768,-0.45938221251141,overpredicted
angra dos reis,3300100,2018,1,2018-01-01,0,51.630493,24.0285712857,3.25365675212039,0.978497577725951,14.0725718946814,-0.867331254594345,overpredicted
angra dos reis,3300100,2018,2,2018-01-08,8,52.549136,24.1238092857,9.39419975051775,0.978497577725951,99.5844985938985,-0.139710526779184,overpredicted
angra dos reis,3300100,2018,3,2018-01-15,18,54.326916,21.9619048571,2.15866733614235,0.978497577725951,6.92091179560996,6.02157440384595,underpredicted
angra dos reis,3300100,2018,4,2018-01-22,22,55.309506,19.5,4.01793552632959,0.978497577725951,20.5165005317331,3.96997624012991,underpredicted
angra dos reis,3300100,2018,5,2018-01-29,12,59.101606,21.3761904286,2.32136967811859,0.978497577725951,7.82854445826674,3.45918182973653,underpredicted
angra dos reis,3300100,2018,6,2018-02-05,9,62.575681,21.3571428571,14.4248977267924,0.978497577725951,227.075065867215,-0.360003589163337,overpredicted
angra dos reis,3300100,2018,7,2018-02-12,3,66.355681,21,26.4860488417931,0.978497577725951,743.412487106642,-0.861380495892978,overpredicted
angra dos reis,3300100,2018,8,2018-02-19,5,68.525557,22.2809524286,29.0454724481186,0.978497577725951,891.223866077927,-0.805452456875669,overpredicted
angra dos reis,3300100,2018,9,2018-02-26,3,70.7555566,21.8000001429,20.4853249991307,0.978497577725951,449.355615404222,-0.824856920221181,overpredicted
angra dos reis,3300100,2018,10,2018-03-05,8,74.3711122,21.4190474286,19.3143298262937,0.978497577725951,400.555270152194,-0.565324242796987,overpredicted
angra dos reis,3300100,2018,11,2018-03-12,4,54.3792612,20.1428571429,8.76365962227677,0.978497577725951,87.2531027475352,-0.509976639121209,overpredicted
angra dos reis,3300100,2018,12,2018-03-19,1,59.127163,20.1809522857,14.6244408981078,0.978497577725951,233.198586047548,-0.892186675445411,overpredicted
angra dos reis,3300100,2018,13,2018-03-26,2,66.021235,21,11.5317266835879,0.978497577725951,147.434689891758,-0.785003766279453,overpredicted
angra dos reis,3300100,2018,14,2018-04-02,1,48.380495,21.5714285714,19.1843166750905,0.978497577725951,395.309934835009,-0.914593522832114,overpredicted
angra dos reis,3300100,2018,15,2018-04-09,0,65.065433,24.1857142857,11.6098664317372,0.978497577725951,149.360844697858,-0.949967708253606,overpredicted
angra dos reis,3300100,2018,16,2018-04-16,2,61.410864,21.7142857143,5.22787839136125,0.978497577725951,33.1591815412158,-0.560551169921911,overpredicted
angra dos reis,3300100,2018,17,2018-04-23,3,56.620494,21.4285714286,6.21864731924075,0.978497577725951,45.7400271993766,-0.475910385838246,overpredicted
angra dos reis,3300100,2018,18,2018-04-30,2,65.710617,21.6428571429,5.36257728450878,0.978497577725951,34.751750836846,-0.57040579615963,overpredicted
angra dos reis,3300100,2018,19,2018-05-07,3,54.796543,20.5714285714,2.82905803225311,0.978497577725951,11.0085053114751,0.0515210280983788,underpredicted
angra dos reis,3300100,2018,20,2018-05-14,4,36.84247,20.5,5.12631757646873,0.978497577725951,31.9829317296539,-0.199159820382998,overpredicted
angra dos reis,3300100,2018,21,2018-05-21,2,31.562839,19,5.15483087777774,0.978497577725951,32.3110364559718,-0.555009782726522,overpredicted
angra dos reis,3300100,2018,22,2018-05-28,1,29.427777,17.852381,3.43482671836746,0.978497577725951,15.4921223660785,-0.61860382277642,overpredicted
angra dos reis,3300100,2018,23,2018-06-04,2,29.369753,23.4952387143,4.75356216898635,0.978497577725951,27.8464688953705,-0.521806903356408,overpredicted
angra dos reis,3300100,2018,24,2018-06-11,3,22.2341978,23.9619045714,5.20293509902855,0.978497577725951,32.8683420054163,-0.384249051273591,overpredicted
angra dos reis,3300100,2018,25,2018-06-18,0,21.0219754,22.171428,3.03654954396101,0.978497577725951,12.4598055057783,-0.860250115955575,overpredicted
angra dos reis,3300100,2018,26,2018-06-25,3,20.9913578,22.3142858571,1.70536842878797,0.978497577725951,4.67755920790637,0.598599771746367,underpredicted
angra dos reis,3300100,2018,27,2018-07-02,1,18.0003705,13.7411765,2.1903109414039,0.978497577725951,7.09319688536609,-0.446929908247933,overpredicted
angra dos reis,3300100,2018,28,2018-07-09,2,14.8907409,14.1,2.58332960807724,0.978497577725951,9.40357323042539,-0.190224987833735,overpredicted
angra dos reis,3300100,2018,29,2018-07-16,2,16.7446916,15.8571428571,0.868494330571236,0.978497577725951,1.63935204080425,0.88373208219072,underpredicted
angra dos reis,3300100,2018,30,2018-07-23,0,9.3108638,16.5,2.62778620081205,0.978497577725951,9.68478917595093,-0.844393617818053,overpredicted
