region,rainfall_effect_mean,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
Baixadas,-0.0729188477623949,-0.186771758064669,0.0409340625398791,0.929676272274341,0.829633071835368,1.04178341072862
Centro Fluminense,0.114877506960183,0.0109890196387885,0.218765994281577,1.12173602430054,1.01104962069373,1.24454001313031
Metropolitana do Rio de Janeiro,0.0533214564568361,-0.0185291024115239,0.125172015325196,1.05476865282225,0.981641506041009,1.13334338873196
Noroeste Fluminense,0.225156847543779,0.123417387440736,0.326896307646823,1.25251915533901,1.1313565364224,1.386657683927
Norte Fluminense,0.229342309424553,0.106832701120135,0.351851917728972,1.25777251271308,1.11274807739923,1.42169797986448
Sul Fluminense,0.085204556039677,-0.00684975871509191,0.177258870794446,1.08893979312913,0.993173647409542,1.19394012935499
