,rainfall_lag,humidity_lag,temperature_lag,idhm,log_cases_lag
rainfall_lag,1.0,-0.006502352041765321,0.5645040682619994,0.06361547222695138,0.0715037201761477
humidity_lag,-0.006502352041765321,1.0,-0.4169888629035789,0.004062510582244813,0.058611015621081314
temperature_lag,0.5645040682619994,-0.4169888629035789,1.0,-0.026935676978213696,0.04117006226889753
idhm,0.06361547222695138,0.004062510582244813,-0.026935676978213696,1.0,0.35836057983511843
log_cases_lag,0.0715037201761477,0.058611015621081314,0.04117006226889753,0.35836057983511843,1.0
