term,mean,sd,0.025quant,0.5quant,0.975quant,mode,kld
(Intercept),-0.0630654569009763,0.393094842879971,-0.849618471684097,-0.062992647720733,0.723143955640119,-0.0629870330591345,6.70587250003107e-08
rainfall_z,0.0469407262123707,0.0299454482556271,-0.0117411212433583,0.0469265593728974,0.105703274335942,0.046926501409357,8.89461452459649e-11
humidity_z,0.0601585986214594,0.0171159338385112,0.0265920937094208,0.0601598189962175,0.0937181516936884,0.0601598240750687,4.83507826612496e-11
temperature_z,0.17712519239039,0.0231392830246691,0.131742349621157,0.177128142582007,0.22249123155284,0.177128155458642,4.99097867624151e-11
idhm_z,0.977739842214191,0.14836350116178,0.686226931852348,0.977695704399258,1.26950124868928,0.977695067935512,1.02709350284966e-08
