date,year,week,rainfall_time_idx,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
2017-02-13,2017,7,1,0.149671784694589,0.0992929141437058,-0.0449423270270748,0.344285896416252,1.16145297352009,0.956052618639923,1.41098197253797
2017-02-20,2017,8,2,0.114879418965859,0.0929696808095897,-0.0673411554209364,0.297099993352655,1.12173816906823,0.93487620884031,1.34594987876035
2017-02-27,2017,9,3,0.179466197338432,0.0917249099780493,-0.000314626218544889,0.359247020895409,1.19657845584727,0.999685423271093,1.432250553692
2017-03-06,2017,10,4,0.17399273567412,0.0918282958666764,-0.0059907242245659,0.353976195572805,1.19004692090032,0.99402718438411,1.42472127140245
2017-03-13,2017,11,5,0.111378760581347,0.125526724372086,-0.134653619187942,0.357411140350636,1.11781821215959,0.874018602535157,1.42962352495856
2017-03-20,2017,12,6,0.0983983371179542,0.119970965804807,-0.136744755859468,0.333541430095377,1.10340222364207,0.872192819829708,1.3959028777329
2017-03-27,2017,13,7,0.0226560193671139,0.116425215384093,-0.205537402785708,0.250849441519936,1.02291461620621,0.814209640288923,1.28511658456537
2017-04-03,2017,14,8,-0.0167165692429272,0.137668496644051,-0.286546822665267,0.253113684179412,0.983422377286926,0.750851920819854,1.28802969711081
2017-04-10,2017,15,9,-0.109630037780082,0.115167747025333,-0.335358821949734,0.11609874638957,0.896165621396787,0.715081453391219,1.12310676939639
2017-04-17,2017,16,10,-0.144648433097233,0.12130980374688,-0.382415648441118,0.0931187822466526,0.86532645978349,0.682211434147448,1.09759210198108
2017-04-24,2017,17,11,-0.112074690631797,0.125589250492312,-0.358229621596729,0.134080240333135,0.893977483263646,0.698912571159093,1.14348456954637
2017-05-01,2017,18,12,0.0325801833126015,0.115388975801617,-0.193582209258568,0.258742575883771,1.03311672854452,0.824002092809474,1.2953003203662
2017-05-08,2017,19,13,0.150270568282223,0.147881745407677,-0.139577652716823,0.440118789281269,1.16214864075472,0.869725484035407,1.55289167444132
2017-05-15,2017,20,14,0.304538911900033,0.172533673105593,-0.0336270873869279,0.642704911186995,1.35599962354981,0.966932018558938,1.90161763575436
