region,temperature_effect_mean,temperature_effect_q025,temperature_effect_q975,temperature_relative_risk,temperature_relative_risk_q025,temperature_relative_risk_q975
Campos dos Goytacazes,0.0869629385368954,0.0156103587763678,0.158315518297423,1.09085625024042,1.0157328369062,1.1715357773734
Macaé - Rio das Ostras - Cabo Frio,0.117924864490362,0.043042711644875,0.192807017335849,1.12515956875368,1.04398248410748,1.21264875075015
Petrópolis,-0.00981156572233853,-0.0867099550356439,0.0670868235909669,0.990236410652629,0.916943011770635,1.06938832227829
Rio de Janeiro,-0.0446435148422875,-0.0900166810904865,0.000729651405911552,0.95633834149828,0.913915940029582,1.00072991766625
Volta Redonda - Barra Mansa,0.0380387596951932,-0.030084631754137,0.106162151144523,1.03877149456473,0.970363406516036,1.11200217431367
