,cases,rainfall,humidity,temperature,idhm,population
cases,1.0,0.06629235677738114,0.054651028900031914,0.002917354130209217,0.3567456539691439,0.4578634068707838
rainfall,0.06629235677738114,1.0,-0.00481576634374441,0.6123098121742059,0.09415713990920083,0.12058059851916586
humidity,0.054651028900031914,-0.00481576634374441,1.0,-0.39020193057134106,0.04968749698692229,0.022673642812489275
temperature,0.002917354130209217,0.6123098121742059,-0.39020193057134106,1.0,-0.051017289413344664,-0.04162179667101005
idhm,0.3567456539691439,0.09415713990920083,0.04968749698692229,-0.051017289413344664,1.0,0.6081308692308318
population,0.4578634068707838,0.12058059851916586,0.022673642812489275,-0.04162179667101005,0.6081308692308318,1.0
