municipio,ibge_code,rainfall_effect_mean,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
angra dos reis,3300100,0.140144738117784,-0.057667890576168,0.336068657946827,1.15044029937101,0.943963394523626,1.39943510385355
aperibe,3300159,0.559569695701763,0.266105439215897,0.852418545593335,1.74991934045,1.30487263618137,2.34531224275111
araruama,3300209,0.052036415175165,-0.253709091983278,0.355356961001493,1.05341410207397,0.775917489835799,1.42668983602975
areal,3300225,0.572623310580699,0.24176470002585,0.904107417186216,1.77291185481649,1.27349450433528,2.46972650351232
armacao dos buzios,3300233,-0.110973022541993,-0.488044006505683,0.261255234584369,0.894962892427213,0.613825860117248,1.29855906032221
arraial do cabo,3300258,-0.120453231859924,-0.427389372759439,0.183455473153962,0.886518547199466,0.652209550148091,1.20136147138347
barra do pirai,3300308,0.337424136848048,0.11673079374975,0.556500565931401,1.4013332947987,1.12381685044398,1.74455684421427
barra mansa,3300407,0.380887657652864,0.170933261759245,0.589237210425545,1.46358317380461,1.1864115673587,1.8026128765322
belford roxo,3300456,-0.115557915682897,-0.376791974168123,0.143224560746985,0.890868975457876,0.686058777000342,1.15398891318414
bom jardim,3300506,0.32146775785705,-0.0102036003067539,0.652135362672418,1.37915053854045,0.989848279818233,1.91963557372424
bom jesus do itabapoana,3300605,0.32282095213889,0.0758857010400571,0.568126055860169,1.381018060438,1.07883925690489,1.76495652059876
cabo frio,3300704,0.0505671479556272,-0.243783322274662,0.342527637767551,1.05186749173536,0.783657416974687,1.40850328101057
cachoeiras de macacu,3300803,0.0884929353497584,-0.169525359633405,0.344536123567117,1.09252653426537,0.844065349021126,1.41133508271391
cambuci,3300902,0.462888404555937,0.134986148854337,0.790383334371778,1.58865604574663,1.14452093131539,2.20424122575077
campos dos goytacazes,3301009,-0.0520107563260333,-0.314295128163162,0.207908540093778,0.949318655607003,0.730303463231694,1.23110056805718
cantagalo,3301108,0.303962287016951,-0.0206458284873375,0.627331393140555,1.3552179458145,0.97956583745399,1.87260665451671
carapebus,3300936,0.36321119793892,0.0227876160366737,0.70269486888928,1.43793951703642,1.02304923722059,2.01918682582209
cardoso moreira,3301157,-0.139142946996067,-0.475453970353905,0.193436199150203,0.870103640866318,0.621602803158013,1.21341196736715
carmo,3301207,0.0485840928723962,-0.218890160929058,0.313975656947706,1.04978364743091,0.80340995911088,1.36885641399852
casimiro de abreu,3301306,-0.0309411192652203,-0.268264568374102,0.204250150951971,0.96953265819071,0.764705437462924,1.22660495147801
comendador levy gasparian,3300951,-0.0125161825451354,-0.398082325811496,0.36910827687773,0.98756181910086,0.671606734816577,1.44644421165912
conceicao de macabu,3301405,0.411068971179608,0.0726473380521248,0.748943852307203,1.50842939112479,1.07535123457485,2.11476533221559
cordeiro,3301504,0.38801003494841,0.122409420852836,0.65226466917761,1.4740445761752,1.13021674136885,1.91988381114053
duas barras,3301603,0.201898836278927,-0.20009520010105,0.602446195303595,1.22372420535511,0.818652813537541,1.82658151495296
duque de caxias,3301702,-0.115818322362447,-0.334347805241549,0.10051738658323,0.890637017429084,0.715804778273469,1.10574286662733
engenheiro paulo de frontin,3301801,0.244928912135071,-0.0477991866838847,0.536021361928758,1.27753049306169,0.953325208253307,1.70919305577555
guapimirim,3301850,0.0409884230349179,-0.204744222449045,0.284671540664465,1.04184004412985,0.814855711557162,1.32932532709249
iguaba grande,3301876,-0.348474897270844,-0.631415453250817,-0.0687012240427338,0.70576363139485,0.531838475485107,0.933605577312304
itaborai,3301900,0.203881732616494,-0.0440926353675788,0.449958746083404,1.22615313095809,0.956865313797273,1.5682474878046
itaguai,3302007,0.0555376956271771,-0.196637452506864,0.305630789819382,1.05710886470303,0.821488407893604,1.35748101820129
italva,3302056,-0.00554990806227163,-0.272425831176849,0.259057175553951,0.994465464226068,0.761529908857798,1.29570788552634
itaocara,3302106,0.472760629902179,0.196599618714325,0.747760549843571,1.60441728748455,1.21725657637358,2.11226440515637
itaperuna,3302205,0.0210398180835008,-0.198578373518904,0.238617658149809,1.02126271555203,0.81989551012601,1.26949306345472
itatiaia,3302254,0.0205600490554487,-0.181034202424134,0.220278804631426,1.02077286284908,0.834406819471797,1.24642419098551
japeri,3302270,0.227628765994605,-0.0253275129473743,0.478798036380431,1.25561911038866,0.974990537706908,1.61413310647207
laje do muriae,3302304,0.22729866040353,-0.0983614721357577,0.551358037316075,1.25520469190475,0.90632123466349,1.73560843915686
macae,3302403,-0.178145888182291,-0.400256628244549,0.0417009976771609,0.836820332385964,0.670148045050039,1.04258269749312
macuco,3302452,0.598076744440084,0.301366925346434,0.894347746230117,1.81861776804596,1.35170522546439,2.44574002594542
mage,3302502,-0.0221279942891869,-0.260670915287095,0.214288924498797,0.978115033900358,0.770534449004402,1.23898057492664
mangaratiba,3302601,0.234064159813204,-0.00126467425332703,0.467620859938963,1.26372557000329,0.998736125110143,1.5961921075754
marica,3302700,0.0951181953558575,-0.175063493694693,0.363161995155066,1.0997888373773,0.839403722233501,1.4378687681497
mendes,3302809,0.618206805695132,0.277612706749756,0.959819581558945,1.85559760961703,1.31997488083896,2.61122531772074
mesquita,3302858,0.0641086911689039,-0.525532903954279,0.65196125254062,1.066208279888,0.591240206155956,1.91930137481605
miguel pereira,3302908,0.452821080818201,0.174248562146972,0.730322775413523,1.57274276749016,1.19035140535255,2.07575050078206
miracema,3303005,0.45184762298567,0.182818344414308,0.719643142123079,1.57121251366421,1.20059629324771,2.05370020076802
natividade,3303104,0.0794013113323166,-0.167693497045157,0.324476396654817,1.08263871008523,0.845612977844921,1.38330615259481
nilopolis,3303203,0.0737417199568328,-0.281400788707847,0.42610422569159,1.07652872370105,0.754725789281843,1.53128036557151
niteroi,3303302,0.0917649773465336,-0.169677194768401,0.351095988453741,1.096107181788,0.843937199973921,1.42062368283841
nova friburgo,3303401,0.00807089824794791,-0.177545906764742,0.191798533155908,1.00810355574654,0.83732255968368,1.2114264301183
nova iguacu,3303500,-0.0119361568418385,-0.238529168562402,0.212557368559521,0.988134796494277,0.78778570934539,1.23683706709092
paracambi,3303609,0.158351653468518,-0.130869795289041,0.445620530853586,1.17157811178404,0.877331999713983,1.56145882864809
paraiba do sul,3303708,0.839175761271247,0.560808897093374,1.11764496544635,2.31445852402721,1.75208918709271,3.05764485820278
paraty,3303807,0.119497871881223,-0.0778348564122022,0.314990826247665,1.12693084582196,0.92511719110122,1.3702467405951
paty do alferes,3303856,0.326580475746051,0.0785908132889239,0.57301517684103,1.38621980234709,1.08176158902947,1.77360673529615
petropolis,3303906,0.0705086114340099,-0.13517249632876,0.274299322985851,1.073053809923,0.873565211898843,1.31560853518409
pinheiral,3303955,0.444473310766494,0.201329209531937,0.686227637229326,1.55966851885073,1.22302733781284,1.98620868317335
pirai,3304003,0.00736458327613698,-0.209542338267124,0.222231080990468,1.00739176851456,0.810955304263954,1.24885993231339
porciuncula,3304102,0.224314040664425,0.00159636273316281,0.445247725541826,1.25146396830028,1.00159763759844,1.56087681699793
porto real,3304110,-0.0632634740796485,-0.306900255305965,0.178213012080138,0.938696119008765,0.735723981810975,1.19507986057089
quatis,3304128,0.00751853445636919,-0.22918326551126,0.242193118451494,1.00754686960497,0.795182790570016,1.27404020973267
queimados,3304144,0.163005276053439,-0.145044104029641,0.46904420431454,1.17704289981332,0.864984142983179,1.5984656562716
quissama,3304151,0.179654827419028,-0.156102239601843,0.513312507454464,1.19680418782709,0.855471722811443,1.6708166309145
resende,3304201,-0.0592834894989202,-0.244839229165615,0.12432160101745,0.942439559564829,0.782830384419485,1.13237998700196
rio bonito,3304300,0.042551203844487,-0.258225201211004,0.340949069796212,1.04346948465502,0.772421262314881,1.40628161682894
rio claro,3304409,0.243976388065825,-0.100727833913773,0.587453063106361,1.27631419388693,0.904179086283813,1.79939961691764
rio das flores,3304508,0.428215019213263,0.0841233688980952,0.77211317027558,1.53451599591946,1.08776308166413,2.16433503323893
rio das ostras,3304524,-0.0135541274951202,-0.259513660018016,0.230205372155582,0.986537316078773,0.771426670219796,1.25885851787079
rio de janeiro,3304557,-0.0716735292313541,-0.307599949510103,0.162017240113018,0.93083473654287,0.735209380057983,1.1758805134592
santa maria madalena,3304607,0.299035869123885,-0.20503288467529,0.806121158703501,1.34855799419916,0.814620527439414,2.23920559685245
santo antonio de padua,3304706,0.478453895793331,0.243051676241208,0.712450140044876,1.6135777133293,1.27513451657476,2.03898093228392
sao fidelis,3304805,0.312683252743997,-0.0195210231820218,0.643673354254875,1.3670884409288,0.980668278204234,1.90346013620585
sao francisco de itabapoana,3304755,1.13799394233891,0.818095872290745,1.46006807633552,3.12050217482373,2.26618062934491,4.30625267226876
sao goncalo,3304904,0.0622506198366798,-0.199442865627343,0.321756369340115,1.06422902821379,0.819187023212559,1.37954863466754
sao joao da barra,3305000,0.354594318850672,-0.0714923213846577,0.781339973210296,1.42560219701704,0.931003426384609,2.18439733921551
sao joao de meriti,3305109,0.0494514796511213,-0.203024611805041,0.299799262107301,1.05069461090893,0.816258151591898,1.34958786695846
sao jose de uba,3305133,-0.138740001350676,-0.420101964700767,0.139950041987305,0.870454315986206,0.65697982764816,1.15021633489959
sao jose do vale do rio preto,3305158,0.393616833509005,0.00436839129492264,0.78389112938167,1.4823324597183,1.00437794662492,2.1899771924804
sao pedro da aldeia,3305208,-0.0540813345842864,-0.358543640809518,0.247599492809766,0.947355050638972,0.698693133639291,1.2809468010404
sao sebastiao do alto,3305307,0.243315318610896,-0.165824576008103,0.651378757705682,1.27547074037985,0.847194839455206,1.91818371722502
sapucaia,3305406,0.327333884967133,0.0829527842809738,0.570153050558162,1.38726458665427,1.0864905079066,1.76853770640435
saquarema,3305505,-0.198774497388792,-0.45683537755818,0.056727965569416,0.819734724813095,0.633284584336691,1.05836785873309
seropedica,3305554,0.0942193653443933,-0.182557839147506,0.368907649991289,1.09880075828809,0.833136454632438,1.4461540451691
silva jardim,3305604,-0.010687496266333,-0.430786408846709,0.404462034737665,0.989369412105452,0.649997729713699,1.49849614430914
sumidouro,3305703,0.347916906410256,0.0596898535876393,0.634856496651262,1.41611457480757,1.06150727281411,1.88675136689129
tangua,3305752,0.545215570423781,0.212456818343006,0.878016509342238,1.72498019701096,1.23671270910824,2.40612244876193
teresopolis,3305802,0.319178525959546,0.072080389662352,0.564807739916331,1.37599695415636,1.07474173871664,1.75910954365987
trajano de moraes,3305901,0.355367687016839,-0.0497413083730167,0.761347129751766,1.42670513880889,0.9514755314197,2.14115869711003
tres rios,3306008,0.053984463139629,-0.17844551184783,0.284436027720318,1.05546820336559,0.836569638769323,1.32901229063449
valenca,3306107,0.222932792475,-0.140042748128141,0.584414100546571,1.24973657921109,0.869321072755881,1.79393960943295
varre-sai,3306156,0.535898815575001,0.271845190208269,0.798885027544647,1.70898361323217,1.31238381571877,2.22306089450066
vassouras,3306206,0.478059101916167,0.255756388909136,0.698879236768244,1.61294080845909,1.29143808097583,2.01149703175341
volta redonda,3306305,0.324906914382333,0.118956544965474,0.529160283061545,1.38390181862928,1.12632097290813,1.69750628519352
