,cases,rainfall_lag,humidity_lag,temperature_lag,idhm,population,log_cases_lag
cases,1.0,0.16795623143881386,0.032396056385781885,0.08673922802705193,0.35519709623854184,0.45845484973432504,0.7102750413364288
rainfall_lag,0.16795623143881386,1.0,0.0010216693855902145,0.618398570531725,0.09776101543337462,0.12633558518742805,0.09557635586824627
humidity_lag,0.032396056385781885,0.0010216693855902145,1.0,-0.38792083452426773,0.048063466066373725,0.019981545835994177,0.049624890832542956
temperature_lag,0.08673922802705193,0.618398570531725,-0.38792083452426773,1.0,-0.051360561189879354,-0.042856655642092616,0.0330665943267343
idhm,0.35519709623854184,0.09776101543337462,0.048063466066373725,-0.051360561189879354,1.0,0.6084826455823023,0.35722790381015357
population,0.45845484973432504,0.12633558518742805,0.019981545835994177,-0.042856655642092616,0.6084826455823023,1.0,0.46024874667475973
log_cases_lag,0.7102750413364288,0.09557635586824627,0.049624890832542956,0.0330665943267343,0.35722790381015357,0.46024874667475973,1.0
