region,rainfall_effect_mean,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
Campos dos Goytacazes,0.281056002871424,0.197289561103489,0.364822444639359,1.32452777921714,1.21809670307029,1.4402582598704
Macaé - Rio das Ostras - Cabo Frio,0.0288090943181689,-0.0636655629671161,0.121283751603454,1.02922809022851,0.938318755602503,1.12894520693583
Petrópolis,0.0927244324842586,0.00943165034488963,0.176017214623628,1.09715935212947,1.00947626852303,1.19245858619974
Rio de Janeiro,0.0312874387326923,-0.0308083764391901,0.0933832539045746,1.03178203538783,0.969661365237966,1.09788242237308
Volta Redonda - Barra Mansa,0.131302170000978,0.0514918307112575,0.211112509290698,1.14031229742618,1.05284058529826,1.2350513019908
