model,term,mean,sd,0.025quant,0.5quant,0.975quant,mode,kld
S6,(Intercept),-0.239743752081932,0.154294740937342,-0.544356805963959,-0.240086843653427,0.0666161519696223,-0.240135552050086,2.74556705159108e-07
S6,rainfall_lag_z,0.030903468816077,0.0317431289856556,-0.0316158350233996,0.0310020337350331,0.0928699642796532,0.031004635542326,2.45007642381985e-09
S6,humidity_lag_z,-0.0447575022608265,0.014230155664547,-0.0726661370723238,-0.044755974577236,-0.0168575631930743,-0.044755966330305,4.88336379458345e-11
S6,temperature_lag_z,0.0228678543191701,0.0203838636415237,-0.0171327875234697,0.0228780614416215,0.0628104177300151,0.0228781221325385,1.04600654427785e-10
S6,idhm_z,0.529568152684786,0.08757291142507,0.35675947695642,0.52980002012373,0.701126353845431,0.529814904896798,1.36252158897834e-08
S6,log_cases_lag_z,0.917517394527204,0.0105460847052726,0.896838929160057,0.917516808885113,0.938199189138112,0.917516804472044,4.56124475826595e-11
S6,neighbor_log_cases_lag_z,0.285295397697212,0.0205181825796486,0.245079649832362,0.285288707200707,0.325549189819773,0.285288658632269,7.24201115437741e-11
S6,rainfall_lag_region_Campos.dos.Goytacazes,0.249804134857071,0.0286879889786343,0.19355285995421,0.249802808817092,0.306062961100871,0.24980280263558,4.61936110323739e-11
S6,rainfall_lag_region_Macaé...Rio.das.Ostras...Cabo.Frio,-0.00246841799300528,0.0349661904085211,-0.0710333524319035,-0.00246887152848405,0.0660991034275498,-0.00246887241920036,4.48607417676033e-11
S6,rainfall_lag_region_Petrópolis,0.0617071367476944,0.0283330372726589,0.00616189693409729,0.0617023358673252,0.117279705284925,0.0617023103721578,5.44510036310746e-11
S6,rainfall_lag_region_Volta.Redonda...Barra.Mansa,0.10023345404244,0.0255866013630561,0.0500676938904234,0.100230752344077,0.150414587349627,0.100230736305194,4.86536725960289e-11
