municipio,ibge_code,date,year,week,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
angra dos reis,3300100,2017-03-27,2017,13,0.00989197996971764,0.123622035167004,-0.232407208957611,0.252191168897046,1.00994106732712,0.792623294276268,1.28684201794141
angra dos reis,3300100,2017-04-03,2017,14,-0.0351705152113037,0.118765110474194,-0.267950131740724,0.197609101318117,0.965440779882879,0.764945926673533,1.21848599614631
angra dos reis,3300100,2017-04-10,2017,15,-0.080699163265923,0.120356561626182,-0.31659802405324,0.155199697521394,0.922471162917642,0.728623585421973,1.16789116278992
angra dos reis,3300100,2017-04-17,2017,16,-0.126465042609386,0.12084089309758,-0.363313193080643,0.11038310786187,0.881204953630872,0.695368614752576,1.11670580729314
angra dos reis,3300100,2017-04-24,2017,17,-0.235023336724737,0.15333649125892,-0.535562859592221,0.0655161861427473,0.790552400509705,0.585339733322777,1.06771001928042
angra dos reis,3300100,2017-05-01,2017,18,-0.213349670545731,0.146478618751033,-0.500447763297756,0.0737484222062944,0.807873598219614,0.60625913833744,1.07653593888929
angra dos reis,3300100,2017-05-08,2017,19,-0.203868265666713,0.142965376443202,-0.484080403495388,0.0763438721619628,0.815569802655133,0.616263650168696,1.07933366315027
angra dos reis,3300100,2017-05-15,2017,20,-0.15095719957759,0.162189449550315,-0.468848520696207,0.166934121541027,0.859884501291495,0.625722359965222,1.18167641572281
angra dos reis,3300100,2017-05-22,2017,21,-0.106943026349663,0.141374894995295,-0.384037820540442,0.170151767841116,0.898576866736151,0.681105666907996,1.18548475613025
angra dos reis,3300100,2017-05-29,2017,22,0.0227884261446371,0.147263563597873,-0.265848158507195,0.311425010796469,1.02305006600126,0.766555513598179,1.36536939462132
angra dos reis,3300100,2017-06-05,2017,23,0.25427933527738,0.150271726875285,-0.0402532493981786,0.548811919952939,1.2895319657319,0.96054615061272,1.73119499732901
angra dos reis,3300100,2017-06-12,2017,24,0.297713181371171,0.145212602488049,0.0130964804945937,0.582329882247748,1.34677545218953,1.01318261500417,1.79020454137267
angra dos reis,3300100,2017-06-19,2017,25,0.405626823315674,0.175243326299694,0.0621499037682738,0.749103742863073,1.50024259242618,1.06412184864763,2.11510349025351
angra dos reis,3300100,2017-06-26,2017,26,0.484646802989358,0.201886928005079,0.0889484240994027,0.880345181879313,1.62360145638082,1.09302428116087,2.41173204895522
angra dos reis,3300100,2017-07-03,2017,27,0.547231422013158,0.212399943053955,0.130927533627407,0.963535310398909,1.7284610083035,1.13988517497513,2.62094597141395
angra dos reis,3300100,2017-07-10,2017,28,0.598786266374712,0.213951156355687,0.179441999917566,1.01813053283186,1.81990857511691,1.19654950208508,2.76801521041336
angra dos reis,3300100,2017-07-17,2017,29,0.500405865713133,0.208406080684925,0.0919299475706804,0.908881783855586,1.64939056594723,1.09628802175167,2.48154607644885
angra dos reis,3300100,2017-07-24,2017,30,0.382840127598503,0.196108750617519,-0.00153302361183427,0.76721327880884,1.46644356747206,0.998468150868618,2.15375596578557
angra dos reis,3300100,2017-07-31,2017,31,0.366091271996735,0.200506922814341,-0.0269022967193739,0.759084840712843,1.44208685879506,0.973456346756839,2.13632025230287
angra dos reis,3300100,2017-08-07,2017,32,0.387236224574513,0.203456836013986,-0.0115391740129,0.786011623161927,1.4729043863928,0.988527146914199,2.19462595258748
angra dos reis,3300100,2017-08-14,2017,33,0.36712571883446,0.196197325730438,-0.0174210395971984,0.751672477266118,1.44357939282632,0.982729829344789,2.12054361347942
angra dos reis,3300100,2017-08-21,2017,34,0.40189214062902,0.186113569547764,0.037109544315403,0.766674736942637,1.49465011196071,1.03780670043609,2.15259639029641
angra dos reis,3300100,2017-08-28,2017,35,0.39943348838651,0.181977026037931,0.0427585173521655,0.756108459420855,1.49097980096925,1.04368583239917,2.12997120195466
angra dos reis,3300100,2017-09-04,2017,36,0.430985015684083,0.173974431350213,0.0899951302376649,0.7719749011305,1.53877249233096,1.09416895534947,2.16403579317253
angra dos reis,3300100,2017-09-11,2017,37,0.412202758951817,0.173434672769606,0.0722708003233893,0.752134717580245,1.51014059981412,1.07494640048583,2.1215240408045
angra dos reis,3300100,2017-09-18,2017,38,0.338847829242209,0.171631373456529,0.00245033726741206,0.675245321217007,1.40332978320765,1.00245334179731,1.96451485403479
angra dos reis,3300100,2017-09-25,2017,39,0.383979240389088,0.171586473342158,0.0476697526384586,0.720288728139717,1.46811496387021,1.04882422669046,2.05502646896404
angra dos reis,3300100,2017-10-02,2017,40,0.311709269249233,0.171238534765698,-0.0239182588915347,0.647336797390001,1.365757567581,0.976365515695672,1.91044614278058
angra dos reis,3300100,2017-10-09,2017,41,0.280741932048951,0.172116650833462,-0.0566067035846358,0.618090567682537,1.32411184900732,0.944965647893441,1.85538193117397
angra dos reis,3300100,2017-10-16,2017,42,0.305225920268916,0.172202717091029,-0.032291405229501,0.642743245767333,1.35693152671538,0.96822439531372,1.90169053486566
angra dos reis,3300100,2017-10-23,2017,43,0.286069519678988,0.167973023212008,-0.0431576058165469,0.615296645174523,1.33118499558913,0.957760429556659,1.85020537265453
angra dos reis,3300100,2017-10-30,2017,44,0.228235019942067,0.166439799721287,-0.0979869875116554,0.554457027395789,1.25638056522502,0.906660701588973,1.74099541527359
angra dos reis,3300100,2017-11-06,2017,45,0.135439319927703,0.162710960793421,-0.183474163227403,0.454352803082808,1.14503971263379,0.832373381301845,1.57515361850935
angra dos reis,3300100,2017-11-13,2017,46,0.0483309917429035,0.166089815593093,-0.277205046819558,0.373867030305365,1.04951797962585,0.757899076381632,1.4533438869152
angra dos reis,3300100,2017-11-20,2017,47,0.0142257162934788,0.169252061428129,-0.317508324105653,0.345959756692611,1.01432738331888,0.727960621127969,1.41334573696625
angra dos reis,3300100,2017-11-27,2017,48,-0.130891217105091,0.172829284184345,-0.469636614106406,0.207854179896225,0.87731320587057,0.625229426561016,1.23103364700603
angra dos reis,3300100,2018-02-05,2018,6,-0.284110947416879,0.156919093798911,-0.591672371262745,0.0234504764289873,0.752683131824309,0.553401018459795,1.02372760084468
angra dos reis,3300100,2018-02-12,2018,7,-0.31272534937714,0.15384707545614,-0.614265617271175,-0.0111850814831045,0.731450778395535,0.541038078469704,0.988877238971255
angra dos reis,3300100,2018-02-19,2018,8,-0.259385177980401,0.150442603184085,-0.554252680221208,0.0354823242604058,0.771525791057743,0.574501437097529,1.03611933379067
angra dos reis,3300100,2018-02-26,2018,9,-0.203101588169192,0.142247996559367,-0.481907661425552,0.0757044850871681,0.816195321425429,0.617604087812829,1.07864377173399
angra dos reis,3300100,2018-03-05,2018,10,-0.00367202400755723,0.122153000039032,-0.24309190408406,0.235747856068946,0.996334709628053,0.784199439328448,1.26585509224504
angra dos reis,3300100,2018-03-12,2018,11,-0.101884234276602,0.118117437491821,-0.333394411760571,0.129625943207367,0.903134097589476,0.716487547304782,1.13840247649383
angra dos reis,3300100,2018-03-19,2018,12,-0.0964030367374963,0.114771687520307,-0.321355544277298,0.128549470802305,0.908097945470442,0.725165376750205,1.13717767699174
angra dos reis,3300100,2018-03-26,2018,13,-0.126656795283309,0.120409175226005,-0.362658778726278,0.10934518815966,0.881035996424255,0.695823822886768,1.11554735762704
angra dos reis,3300100,2018-04-02,2018,14,-0.151823698703828,0.121193198673001,-0.389362368102909,0.0857149706952537,0.8591397348388,0.677488725223757,1.08949574582972
