,cases,rainfall_lag,humidity_lag,temperature_lag,idhm,population,log_cases_lag
cases,1.0,0.04970438643965038,0.019141365567722068,0.042828024975628376,0.1650512296915194,0.5028423920999555,0.42929066546130334
rainfall_lag,0.04970438643965038,1.0,-0.006502352041765321,0.5645040682619994,0.06361547222695138,0.02022393688250825,0.0715037201761477
humidity_lag,0.019141365567722068,-0.006502352041765321,1.0,-0.4169888629035789,0.004062510582244813,-0.0029214301181326252,0.058611015621081314
temperature_lag,0.042828024975628376,0.5645040682619994,-0.4169888629035789,1.0,-0.026935676978213696,-0.004830171414465777,0.04117006226889753
idhm,0.1650512296915194,0.06361547222695138,0.004062510582244813,-0.026935676978213696,1.0,0.30982184415254993,0.35836057983511843
population,0.5028423920999555,0.02022393688250825,-0.0029214301181326252,-0.004830171414465777,0.30982184415254993,1.0,0.4382661962358742
log_cases_lag,0.42929066546130334,0.0715037201761477,0.058611015621081314,0.04117006226889753,0.35836057983511843,0.4382661962358742,1.0
